date|sport|sport_group|location|duration|distance_km|avg_pace_km|avg_speed_kmh|avg_hr|calories
2023-12-30|Outdoor Run|Run|Davis County Run|1:09:01|13.91|4:58||158|738
2023-12-31|Strength|Strength|Strength|2:15||||96|21
2024-01-01|Outdoor Run|Run|Cambridge Run|1:29:18|18.25|4:54||157|1339
2024-01-02|Outdoor Run|Run|Cambridge Run|42:29|8.72|4:52||159|670
2024-01-03|Outdoor Run|Run|Cambridge Run|32:01|6.96|4:36||167|548
2024-01-04|Outdoor Run|Run|Cambridge Run|56:33|10.95|5:10||149|825
2024-01-05|Outdoor Run|Run|Cambridge Run|45:11|8.52|5:18||149|649
2024-01-06|Outdoor Run|Run|Cambridge Run|2:44:10|32.19|5:06||154|2509
2024-01-07|Indoor Cycling|Bike|Indoor Bike|30:25||||129|250
2024-01-08|Outdoor Run|Run|Cambridge Run|43:42|8.16|5:21||149|639
2024-01-09|Outdoor Run|Run|Cambridge Run|47:47|10.95|4:22||170|859
2024-01-10|Outdoor Run|Run|Cambridge Run|28:23|5.75|4:56||159|467
2024-01-11|Outdoor Run|Run|Cambridge Run|26:15|5.81|4:31||168|472
2024-01-12|Outdoor Run|Run|Cambridge Run|42:16|8.40|5:02||151|633
2024-01-13|Outdoor Run|Run|Cambridge Run|1:02:06|13.55|4:35||172|1139
2024-01-15|Outdoor Run|Run|Cambridge Run|1:23:18|16.41|5:05||147|1185
2024-01-16|Outdoor Run|Run|Cambridge Run|44:15|8.49|5:13||145|627
2024-01-17|Indoor Cycling|Bike|Indoor Bike|30:22||||119|220
2024-01-18|Outdoor Run|Run|Cambridge Run|46:55|10.30|4:33||163|804
2024-01-19|Outdoor Run|Run|Cambridge Run|29:28|5.76|5:07||147|430
2024-01-20|Outdoor Run|Run|Cambridge Run|1:23:20|16.66|5:00||160|1292
2024-01-22|Outdoor Run|Run|Cambridge Run|1:09:43|13.37|5:13||142|963
2024-01-23|Outdoor Run|Run|Cambridge Run|45:15|8.51|5:19||145|637
