date|avg_stress|label
2026-09-24|24|Relaxed
2026-09-23|26|Low
2026-09-22|22|Relaxed
2026-09-21|21|Relaxed
2026-09-20|14|Relaxed
2026-09-19|35|Low
2026-09-18|23|Relaxed
2026-09-17|53|Medium
2026-09-16|24|Relaxed
2026-09-15|24|Relaxed
2026-09-14|21|Relaxed
2026-09-11|18|Relaxed
2026-09-10|26|Low
2026-09-09|26|Low
2026-09-08|10|Relaxed
2026-09-07|19|Relaxed
2026-09-06|33|Low
2026-09-05|19|Relaxed
2026-09-04|43|Low
2026-09-03|23|Relaxed
2026-09-02|20|Relaxed
2026-09-01|25|Relaxed
2026-08-31|19|Relaxed
2026-08-30|13|Relaxed
2026-08-29|29|Low
2026-08-28|21|Relaxed
2026-08-27|27|Low
2026-08-26|23|Relaxed
