Follower Athlete ID,Follow Status,Favorite Status
129960762,Accepted,""
153773592,Accepted,""
101766134,Accepted,""
26514934,Accepted,""
115849369,Accepted,""
131503055,Accepted,""
15012863,Accepted,""
199587825,Accepted,""
57014660,Accepted,""
55251643,Accepted,""
166183480,Accepted,""
18645125,Accepted,""
50563721,Accepted,""
22356902,Accepted,""
113781789,Accepted,""
12614710,Accepted,""
154460407,Accepted,""
25654503,Accepted,""
51709688,Accepted,""
66935703,Accepted,""
55566466,Accepted,""
16197914,Accepted,""
116251349,Accepted,""
179675366,Accepted,""
176305754,Accepted,""
111967890,Accepted,""
41987316,Accepted,""
25760188,Accepted,""
11651375,Accepted,""
98182028,Accepted,""
165712618,Accepted,""
139548625,Accepted,""
131969156,Accepted,""
45804893,Accepted,""
163256333,Accepted,""
138770552,Accepted,""
98164555,Accepted,""
81736964,Accepted,""
58294598,Accepted,""
157715115,Accepted,""
148015497,Accepted,""
83965500,Accepted,""
119849680,Accepted,""
15892255,Accepted,""
26273186,Accepted,""
132593397,Accepted,""
55543036,Accepted,""
91981053,Accepted,""
3235905,Accepted,Boost Activities in Feed
120650493,Accepted,""
13260725,Accepted,""
148676615,Accepted,""
140751921,Accepted,""
141896947,Accepted,""
97290495,Accepted,""
69210533,Accepted,""
44811436,Accepted,""
83439714,Accepted,""
117758175,Accepted,""
114574556,Accepted,""
60297314,Accepted,""
33973355,Accepted,""
136663924,Accepted,""
135674062,Accepted,Boost Activities in Feed
134899014,Accepted,""
112562044,Accepted,""
121950051,Accepted,""
133511556,Accepted,""
57158337,Accepted,""
117151007,Accepted,""
122224463,Accepted,""
8705881,Accepted,""
3360043,Accepted,""
606873,Accepted,""
55090362,Accepted,""
85736737,Accepted,""
3950261,Accepted,""
112369544,Accepted,""
43404611,Accepted,""
4826624,Accepted,""
33182249,Accepted,""
9451419,Accepted,""
66718939,Accepted,""
40971421,Accepted,""
2813430,Accepted,""
41425697,Accepted,""
65603890,Accepted,""
