Join Date,Name,Completed
"Mar 4, 2024, 8:35:55 PM",Get Sponsored By The Feed,true
"Apr 13, 2024, 2:43:09 PM",Athleta Run Wild Boston Challenge,true
"May 21, 2024, 10:21:03 PM",May Half Marathon Challenge,true
"Jul 6, 2024, 2:33:21 PM",July Run 100K Challenge,true
"Jul 7, 2024, 11:48:02 AM",The Le Col Tour Challenge,true
"Jul 24, 2024, 11:42:55 AM",MUSH Morning Coffee Run Challenge,true
"Oct 9, 2024, 1:35:12 AM",Altra x Smartwool Run the Cold Challenge,true
"Jan 3, 2025, 3:39:14 PM",Chipotle Boston Segment,false
"Jan 3, 2025, 11:55:47 PM",The Runna 365 Challenge,true
"Jan 9, 2025, 1:28:46 AM",Wahoo RunFree 26.2 Challenge,true
"Jan 22, 2025, 11:53:54 AM",Keep Going with Bandit Running,true
"Mar 21, 2025, 2:11:12 PM",CLIF BAR Boston Segment Challenge,true
"Mar 27, 2025, 12:06:02 PM",Minuteman Dash with GNC,true
"Mar 31, 2025, 12:02:25 PM",Columbia Run Every Surface Boston,true
"Apr 3, 2025, 8:51:27 PM",April Half Marathon Challenge,true
"May 24, 2025, 12:37:12 PM",Nike Boston Segment,true
"Jul 2, 2025, 6:46:37 PM",Get Sponsored By The Feed,true
"Jul 2, 2025, 6:47:48 PM",Streak for Skratch,true
"Jul 16, 2025, 5:34:17 PM",Michelob ULTRA Zero Excuses Challenge,true
"Oct 25, 2025, 2:14:32 PM",The L.L.Bean Charles River Segment Challenge,true
"Nov 17, 2025, 8:45:13 PM",Brooks Adrenaline GTS 25 Challenge,true
"Nov 17, 2025, 8:45:49 PM",Get Fueled by The Feed,true
"Jan 3, 2026, 5:39:59 PM",January Run 100K Challenge,true
"Jan 20, 2026, 7:29:24 PM",Go For Launch with Bandit Running,true
