Join Date,Club Name
"Dec 2, 2023, 7:44:02 PM",Tracksmith
"Jul 17, 2024, 11:53:24 AM",MIDNIGHT RUNNERS Boston
"Jul 27, 2024, 6:42:41 PM",DIRTY WATER RACING
"Feb 8, 2025, 7:09:48 PM",Esplanade Condition Reporting
"May 16, 2025, 2:52:59 AM",HOKA Boston Run Club
"Oct 2, 2025, 3:01:04 PM",The Charles River Rats Run Club (CRRRC)
"Nov 29, 2025, 6:15:00 PM",Accomplice
"Jan 5, 2026, 3:34:49 PM",The Heartbreakers.
"Jan 30, 2026, 6:55:07 PM",Boston Burrito League
"Feb 13, 2026, 2:56:17 PM",Unreleased Running Shoes
"Mar 9, 2026, 1:55:47 PM",Out and Back Podcast
