Follower Athlete ID,Follow Status,Created At
65603890,Accepted,"Aug 6, 2020, 11:54:50 PM"
41425697,Accepted,"Aug 7, 2020, 4:38:09 AM"
2813430,Accepted,"Aug 7, 2020, 7:19:36 AM"
40971421,Accepted,"Aug 7, 2020, 2:49:42 PM"
66718939,Accepted,"Sep 1, 2020, 3:37:50 PM"
9451419,Accepted,"May 15, 2021, 7:52:30 PM"
33182249,Accepted,"Sep 30, 2021, 7:00:58 PM"
4826624,Accepted,"Aug 18, 2022, 2:34:01 AM"
43404611,Accepted,"Jan 3, 2023, 9:06:26 PM"
112369544,Accepted,"Jan 7, 2023, 4:10:14 PM"
3950261,Accepted,"Apr 9, 2023, 11:07:22 PM"
85736737,Accepted,"Apr 11, 2023, 3:13:48 AM"
55090362,Accepted,"Jun 17, 2023, 7:09:13 PM"
606873,Accepted,"Jul 16, 2023, 7:54:43 AM"
3360043,Accepted,"Sep 11, 2023, 2:43:18 AM"
8705881,Accepted,"Nov 4, 2023, 6:22:27 PM"
122224463,Accepted,"Nov 10, 2023, 1:03:03 PM"
117151007,Accepted,"Dec 10, 2023, 3:59:59 PM"
57158337,Accepted,"Dec 10, 2023, 4:08:00 PM"
133511556,Accepted,"Mar 17, 2024, 9:51:17 PM"
121950051,Accepted,"Apr 3, 2024, 10:19:19 PM"
112562044,Accepted,"Apr 9, 2024, 10:30:19 PM"
134899014,Accepted,"Apr 10, 2024, 5:33:06 PM"
135674062,Accepted,"Apr 20, 2024, 2:49:56 PM"
136663924,Accepted,"May 3, 2024, 2:13:15 AM"
33973355,Accepted,"May 17, 2024, 1:11:14 AM"
60297314,Accepted,"May 19, 2024, 6:38:00 AM"
114574556,Accepted,"May 23, 2024, 3:39:25 PM"
117758175,Accepted,"Jun 5, 2024, 5:40:09 PM"
83439714,Accepted,"Jul 12, 2024, 11:19:41 AM"
44811436,Accepted,"Jul 12, 2024, 3:44:11 PM"
69210533,Accepted,"Jul 19, 2024, 11:37:11 AM"
97290495,Accepted,"Jul 26, 2024, 12:44:54 AM"
141896947,Accepted,"Aug 18, 2024, 7:25:27 PM"
