Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,Media
2457709932,"Jun 17, 2019, 3:13:02 PM",Morning Ride,Ride,,1941,10.39,,,false,,,activities/2457709932.gpx,0.0,,,1536.0,10393.6,18.0,,152.8,,1345.4,1449.5,14.4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
2601842849,"Jul 30, 2019, 3:51:46 PM",Morning Run,Run,,778039,3.58,,,false,,,activities/2601842849.gpx,0.0,,778039.0,855.0,3587.1,6.6,,18.2,,1337.4,1345.8,11.1,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
2601897999,"Aug 8, 2019, 4:01:34 PM",Morning Run,Run,,635,1.62,,,false,,,activities/2601897999.gpx,0.0,,635.0,470.0,1627.0,7.6,,2.8,,1341.2,1345.7,2.2,-0.2,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
2654637892,"Aug 26, 2019, 11:54:52 PM",Afternoon Ride,Ride,,4722,33.57,,,false,,,activities/2654637892.gpx,0.0,,4722.0,4454.0,33575.9,17.1,,318.8,,766.0,919.6,10.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3790529692,"Jul 20, 2020, 1:55:59 PM",Ochtendloop,Run,,2124,6.69,,,false,,,activities/3790529692.gpx,,,2124.0,1789.0,6694.9,6.1,3.742,13.8,13.8,755.7,763.8,6.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,6711.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3790542176,"Jul 20, 2020, 1:56:28 PM",Morning Run,Run,,2102,6.50,197.0,105,false,,,activities/3790542176.gpx,,,2102.0,1739.0,6506.1,5.9,3.741,13.8,14.2,755.7,763.8,6.6,0.0,,,,,,180.0,,,,,,105.0,,,,,,,,,,,,,0.0,,1.0,6519.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3790672072,"Jul 18, 2020, 3:06:08 PM",Morning Ride,Ride,,4526,31.03,177.0,100,false,,,activities/4051622245.fit.gz,,,4526.0,3703.0,31031.3,12.8,8.38,158.5,158.7,757.3,819.3,14.4,0.0,,,,,,153.0,,,814.0,,,100.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3790672368,"Jul 17, 2020, 2:15:20 AM",Evening Ride,Ride,,5481,42.09,182.0,147,false,,,activities/4051622751.fit.gz,,,5481.0,5389.0,42090.8,17.8,7.811,212.3,212.7,751.2,814.9,10.3,0.0,,,,,,154.0,,,1093.0,,,147.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3790672639,"Jul 16, 2020, 1:16:57 AM",Evening Ride,Ride,,5487,40.39,186.0,162,false,,,activities/4051623021.fit.gz,,,5487.0,4859.0,40395.5,17.3,8.314,194.2,194.4,757.3,888.5,14.4,0.0,,,,,,159.0,,,1029.0,,,162.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3790672659,"Jul 14, 2020, 2:34:04 PM",Morning Ride,Ride,,4191,27.82,175.0,102,false,,,activities/4051623138.fit.gz,,,4191.0,3383.0,27822.8,13.0,8.224,123.8,123.9,757.3,818.5,7.6,0.0,,,,,,156.0,,,752.0,,,102.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3790672766,"Jul 11, 2020, 3:06:14 PM",Morning Ride,Ride,,3566,30.04,182.0,130,false,,,activities/4051623292.fit.gz,,,3566.0,3566.0,30042.5,13.3,8.425,133.5,133.8,757.3,820.4,14.2,0.0,,,,,,161.0,,,747.0,,,130.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3790672879,"Jul 10, 2020, 11:22:26 PM",Afternoon Run,Run,,843,2.72,198.0,25,false,,,activities/4051623453.fit.gz,,,843.0,452.0,2720.0,5.0,6.018,17.4,17.8,756.5,767.0,24.6,0.0,,,,,,179.0,,,168.0,,,25.0,,,,,,,,,,,,,0.0,,1.0,2760.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3790673581,"Jul 8, 2020, 2:00:09 AM",Evening Ride,Ride,,5570,30.78,185.0,56,false,,,activities/4051624083.fit.gz,,,5570.0,4360.0,30779.5,18.6,7.06,112.9,157.0,815.2,938.9,11.8,-0.1,,,,,,139.0,,,679.0,,,56.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3790673756,"Jul 8, 2020, 1:18:13 AM",Evening Ride,Ride,,2244,16.50,176.0,30,false,,,activities/4051624426.fit.gz,,,2244.0,2244.0,16501.2,12.1,7.353,58.5,18.7,823.6,866.9,28.6,0.2,,,,,,138.0,,,434.0,,,30.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3790674025,"Jul 7, 2020, 1:13:05 AM",Evening Ride,Ride,,4964,31.88,186.0,168,false,,,activities/4051624585.fit.gz,,,4964.0,3863.0,31882.4,12.1,8.253,180.7,180.8,757.3,828.8,40.0,0.0,,,,,,167.0,,,810.0,,,168.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
