Following Athlete ID,Follow Status,Favorite Status
606873,Accepted,""
1635688,Accepted,""
1733803,Accepted,""
2813430,Accepted,""
3235905,Accepted,""
3360043,Accepted,""
3950261,Accepted,""
4826624,Accepted,""
8705881,Accepted,""
9451419,Accepted,""
13260725,Accepted,""
15892255,Accepted,""
16197914,Accepted,""
19812903,Accepted,""
23295862,Accepted,""
25654503,Accepted,""
25760188,Accepted,""
26273186,Accepted,""
31401618,Accepted,""
33182249,Accepted,""
33973355,Accepted,""
33993248,Accepted,""
38088247,Accepted,""
40971421,Accepted,""
41425697,Accepted,""
41987316,Accepted,""
43404611,Accepted,""
44811436,Accepted,""
45804893,Accepted,""
51709688,Accepted,""
55090362,Accepted,""
55543036,Accepted,""
55566466,Accepted,""
57158337,Accepted,""
58294598,Accepted,""
60297314,Accepted,""
65603890,Accepted,""
66718939,Accepted,""
66935703,Accepted,""
69210533,Accepted,""
81736964,Accepted,""
83439714,Accepted,""
83965500,Accepted,""
85736737,Accepted,""
91981053,Accepted,""
97290495,Accepted,""
98164555,Accepted,""
98182028,Accepted,""
104259686,Accepted,""
106524812,Accepted,""
106669234,Accepted,""
111967890,Accepted,""
112369544,Accepted,""
112562044,Accepted,""
114574556,Accepted,""
116251349,Accepted,""
117151007,Accepted,""
117758175,Accepted,""
119849680,Accepted,""
120650493,Accepted,""
121950051,Accepted,""
122224463,Accepted,""
131969156,Accepted,""
132593397,Accepted,""
133511556,Accepted,""
134899014,Accepted,""
135674062,Accepted,""
136663924,Accepted,""
139548625,Accepted,""
140751921,Accepted,""
141896947,Accepted,""
148015497,Accepted,""
148676615,Accepted,""
157715115,Accepted,""
165712618,Accepted,""
176305754,Accepted,""
179675366,Accepted,""
11651375,Pending,""
127299758,Pending,""
130538865,Pending,""
