Comment Date,Comment
"Jul 21, 2020, 2:53:21 AM",Devin Limb not bad
"Apr 17, 2021, 9:39:58 PM",Not bad
"Apr 9, 2022, 5:30:48 PM",New bike new me
"Sep 15, 2023, 1:20:38 AM",Borrowed?
"Mar 14, 2024, 1:51:35 AM",Have 3 pairs of On cloudmonsters and want a 4th!
"Mar 20, 2024, 12:55:47 AM",Back at it
"Apr 20, 2024, 10:40:37 PM",Congrats!!!
"May 19, 2024, 10:08:58 PM",Misha Galant you too! We’ll get that BQ next time
"May 21, 2024, 10:17:37 PM",Nice work!
"Jun 9, 2024, 5:42:33 PM",Inspiring
"Jun 18, 2024, 3:06:22 PM",Dam
"Jun 29, 2024, 9:00:16 PM",Oh yes 😎
"Jul 6, 2024, 7:36:14 PM",Killing it 
"Jul 9, 2024, 1:57:29 PM",Crushed it 😎
"Jul 12, 2024, 1:58:23 PM",Karl Stange very accurate 😂
"Jul 12, 2024, 3:20:26 PM",Where’s the pic of the new sunnies???
"Jul 20, 2024, 3:34:03 PM",Incredible
"Jul 20, 2024, 9:43:40 PM",Oooooo just .16 away
"Jul 22, 2024, 1:31:08 PM",WOW
"Jul 30, 2024, 11:49:07 AM",🏎️ 
"Aug 1, 2024, 3:49:15 PM",New route who dis 
"Aug 4, 2024, 1:17:59 PM",No rest for the wicked 😎
"Aug 11, 2024, 3:10:19 PM",lol when you are just so good you have to say you got lost for running 7+ miles 
"Aug 14, 2024, 12:35:33 PM",Crushed it!
"Aug 14, 2024, 7:27:39 PM",Brooke Wolverton Absolutely and the pink stripe on my tank top helped too
"Aug 16, 2024, 11:58:53 AM",lol you did
"Aug 17, 2024, 2:22:35 PM",!!!!!!!!
"Aug 19, 2024, 11:47:54 AM",Omg did she run with you
"Aug 29, 2024, 4:41:31 PM",J Patt I was thinking the same thing haha
