Following Athlete ID,Follow Status,Created At
4826624,Accepted,"Jul 20, 2020, 7:47:42 PM"
9451419,Accepted,"Jul 21, 2020, 10:32:06 PM"
65603890,Accepted,"Aug 6, 2020, 11:54:21 PM"
2813430,Accepted,"Aug 6, 2020, 11:57:45 PM"
41425697,Accepted,"Aug 7, 2020, 4:38:21 AM"
40971421,Accepted,"Aug 7, 2020, 4:40:31 AM"
66718939,Accepted,"Sep 1, 2020, 3:27:37 PM"
33182249,Accepted,"Sep 30, 2021, 6:51:44 PM"
43404611,Accepted,"Jan 25, 2023, 1:17:51 PM"
112369544,Accepted,"Jan 25, 2023, 1:17:57 PM"
3950261,Accepted,"Apr 9, 2023, 11:06:14 PM"
85736737,Accepted,"Apr 18, 2023, 6:24:01 PM"
3360043,Accepted,"Sep 11, 2023, 2:34:00 AM"
55090362,Accepted,"Sep 11, 2023, 2:34:14 AM"
49516157,Accepted,"Sep 20, 2023, 12:24:03 AM"
81251731,Accepted,"Nov 6, 2023, 5:47:33 PM"
8705881,Accepted,"Nov 6, 2023, 10:02:59 PM"
122224463,Accepted,"Nov 9, 2023, 7:53:04 PM"
117151007,Accepted,"Dec 10, 2023, 3:53:32 PM"
57158337,Accepted,"Jan 29, 2024, 3:54:34 PM"
133511556,Accepted,"Mar 17, 2024, 11:37:28 PM"
121950051,Accepted,"Apr 4, 2024, 12:23:01 AM"
97290495,Accepted,"Apr 7, 2024, 9:00:28 PM"
134899014,Accepted,"Apr 9, 2024, 9:48:08 PM"
112562044,Accepted,"Apr 9, 2024, 9:48:26 PM"
136663924,Accepted,"May 3, 2024, 6:13:47 PM"
106669234,Accepted,"May 6, 2024, 12:41:42 AM"
135674062,Accepted,"May 14, 2024, 4:46:16 PM"
33973355,Accepted,"May 16, 2024, 8:07:24 PM"
60297314,Accepted,"May 19, 2024, 10:08:06 PM"
117758175,Accepted,"May 23, 2024, 3:09:42 AM"
114574556,Accepted,"May 23, 2024, 4:43:27 PM"
127299758,Pending,"Jun 28, 2024, 6:10:01 PM"
83439714,Accepted,"Jul 12, 2024, 11:40:11 AM"
69210533,Accepted,"Jul 19, 2024, 11:54:33 AM"
23295862,Accepted,"Aug 1, 2024, 12:01:21 PM"
141896947,Accepted,"Aug 17, 2024, 12:13:48 AM"
606873,Pending,"Aug 26, 2024, 5:48:40 PM"
